"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] BookTitleComparatorJaccard record1Value","[0] BookTitleComparatorJaccard record2Value","[0] BookTitleComparatorJaccard record1PreprocessedValue","[0] BookTitleComparatorJaccard record2PreprocessedValue","[0] BookTitleComparatorJaccard similarity","[0] BookTitleComparatorJaccard postproccesedSimilarity","[1] BookAuthorComparatorLevenshtein record1Value","[1] BookAuthorComparatorLevenshtein record2Value","[1] BookAuthorComparatorLevenshtein record1PreprocessedValue","[1] BookAuthorComparatorLevenshtein record2PreprocessedValue","[1] BookAuthorComparatorLevenshtein similarity","[1] BookAuthorComparatorLevenshtein postproccesedSimilarity"
"LinearCombinationMatchingRule","C93","B28012","0.11250000000000002",,"Be(com)ing Nigerian","Private Yankee Doodle: Being A Narrative of Some of the Adventures, Dangers, and Sufferings of a Revolutionary Soldier","being nigerian","private yankee doodle: being a narrative of some of the adventures, dangers, and sufferings of a revolutionary soldier","0.0625","0.0625","Elnathan_John","Joseph Plumb Martin, George E. Scheer (Editor)","elnathan john","joseph plumb martin, george e. scheer ","0.1875","0.1875"
"LinearCombinationMatchingRule","C93","B06200","0.08888888888888889",,"Be(com)ing Nigerian","The Golden Ass","being nigerian","the golden ass","0.0","0.0","Elnathan_John","Apuleius, Jack Lindsay (Translator, introduction), Claudio Annaratone (translator)","elnathan john","apuleius, jack lindsay , claudio annaratone ","0.2222222222222222","0.2222222222222222"
"LinearCombinationMatchingRule","C2369","B26882","0.06666666666666665",,"Evernight (series)","In the Wake of the Sea-Serpents","evernight ","in the wake of the sea-serpents","0.0","0.0","Claudia_Gray","Bernard Heuvelmans","claudia gray","bernard heuvelmans","0.16666666666666663","0.16666666666666663"
"LinearCombinationMatchingRule","C2369","B37745","0.06666666666666665",,"Evernight (series)","Mission to Venice","evernight ","mission to venice","0.0","0.0","Claudia_Gray","James Hadley Chase","claudia gray","james hadley chase","0.16666666666666663","0.16666666666666663"
"LinearCombinationMatchingRule","C93","B19787","0.14285714285714285",,"Be(com)ing Nigerian","The complete works of Francois Villon ; trans., with a biography and notes","being nigerian","the complete works of francois villon ; trans., with a biography and notes","0.0","0.0","Elnathan_John","François Villon, Anthony Bonner (Translator), William Carlos Williams (Introduction)","elnathan john","françois villon, anthony bonner , william carlos williams ","0.3571428571428571","0.3571428571428571"
"LinearCombinationMatchingRule","C93","B31863","0.07272727272727271",,"Be(com)ing Nigerian","Mind, Self and Society from the Standpoint of a Social Behaviorist","being nigerian","mind, self and society from the standpoint of a social behaviorist","0.0","0.0","Elnathan_John","George Herbert Mead, Charles William Morris (Editor)","elnathan john","george herbert mead, charles william morris ","0.18181818181818177","0.18181818181818177"
"LinearCombinationMatchingRule","C2369","B13331","0.06666666666666665",,"Evernight (series)","Password to Larkspur Lane","evernight ","password to larkspur lane","0.0","0.0","Claudia_Gray","Carolyn Keene, Walter Karig (Ghostwriter)","claudia gray","carolyn keene, walter karig ","0.16666666666666663","0.16666666666666663"
"LinearCombinationMatchingRule","C2369","B34472","0.07999999999999999",,"Evernight (series)","Zen Buddhism: Selected Writings of D. T. Suzuki","evernight ","zen buddhism: selected writings of d. t. suzuki","0.0","0.0","Claudia_Gray","D.T. Suzuki, William Barrett (editor)","claudia gray","d.t. suzuki, william barrett ","0.19999999999999996","0.19999999999999996"
"LinearCombinationMatchingRule","C94","B06510","0.06153846153846154",,"Be(com)ing Nigerian","Under Milk Wood","being nigerian","under milk wood","0.0","0.0","Elnathan_John","Dylan Thomas","elnathan john","dylan thomas","0.15384615384615385","0.15384615384615385"
"LinearCombinationMatchingRule","C2369","B23105","0.06666666666666665",,"Evernight (series)","Special Friendships","evernight ","special friendships","0.0","0.0","Claudia_Gray","Roger Peyrefitte, Edward Hyams (Translator)","claudia gray","roger peyrefitte, edward hyams ","0.16666666666666663","0.16666666666666663"
"LinearCombinationMatchingRule","C93","B25191","0.06153846153846154",,"Be(com)ing Nigerian","The Shrimp and the Anemone","being nigerian","the shrimp and the anemone","0.0","0.0","Elnathan_John","L.P. Hartley","elnathan john","l.p. hartley","0.15384615384615385","0.15384615384615385"
"LinearCombinationMatchingRule","C94","B30611","0.04705882352941178",,"Be(com)ing Nigerian","Walt Disney's Story Land (A Golden Book)","being nigerian","walt disney's story land ","0.0","0.0","Elnathan_John","Frances Saldinger (Compiled By)","elnathan john","frances saldinger ","0.11764705882352944","0.11764705882352944"
"LinearCombinationMatchingRule","C2369","B25766","0.15384615384615385",,"Evernight (series)","A Tear and a Smile","evernight ","a tear and a smile","0.0","0.0","Claudia_Gray","Kahlil Gibran, جبران خليل جبران, H.M. Nahmad (Translator), Robert Hillyer (Introduction)","claudia gray","kahlil gibran, جبران خليل جبران, h.m. nahmad , robert hillyer ","0.3846153846153846","0.3846153846153846"
"LinearCombinationMatchingRule","C94","B29878","0.06153846153846154",,"Be(com)ing Nigerian","The Sheik","being nigerian","the sheik","0.0","0.0","Elnathan_John","E.M. Hull","elnathan john","e.m. hull","0.15384615384615385","0.15384615384615385"
"LinearCombinationMatchingRule","C2369","B14877","0.06153846153846154",,"Evernight (series)","The Haunted Showboat","evernight ","the haunted showboat","0.0","0.0","Claudia_Gray","Carolyn Keene","claudia gray","carolyn keene","0.15384615384615385","0.15384615384615385"
"LinearCombinationMatchingRule","C2369","B14637","0.13333333333333336",,"Evernight (series)","Katie John","evernight ","katie john","0.0","0.0","Claudia_Gray","Mary Calhoun, Paul Frame (Illustrator)","claudia gray","mary calhoun, paul frame ","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","C2369","B23583","0.05",,"Evernight (series)","Notes on the Synthesis of Form","evernight ","notes on the synthesis of form","0.0","0.0","Claudia_Gray","Christopher W. Alexander","claudia gray","christopher w. alexander","0.125","0.125"
"LinearCombinationMatchingRule","C93","B26288","0.03076923076923075",,"Be(com)ing Nigerian","The Scorching Wind","being nigerian","the scorching wind","0.0","0.0","Elnathan_John","Walter Macken","elnathan john","walter macken","0.07692307692307687","0.07692307692307687"
"LinearCombinationMatchingRule","C94","B27695","0.05333333333333332",,"Be(com)ing Nigerian","Минувшие дни","being nigerian","минувшие дни","0.0","0.0","Elnathan_John","Abdulla Qodiriy","elnathan john","abdulla qodiriy","0.1333333333333333","0.1333333333333333"
"LinearCombinationMatchingRule","C93","B31638","0.1",,"Be(com)ing Nigerian","The Crimson Fairy Book","being nigerian","the crimson fairy book","0.0","0.0","Elnathan_John","Andrew Lang (Editor), Leonora Blanche Alleyne Lang","elnathan john","andrew lang , leonora blanche alleyne lang","0.25","0.25"
"LinearCombinationMatchingRule","C2369","B13568","0.0923076923076923",,"Evernight (series)","Arrowsmith","evernight ","arrowsmith","0.0","0.0","Claudia_Gray","Sinclair Lewis, E.L. Doctorow (Afterword)","claudia gray","sinclair lewis, e.l. doctorow ","0.23076923076923073","0.23076923076923073"
"LinearCombinationMatchingRule","C2371","B41531","0.1",,"Evernight (series)","Spill the Jackpot","evernight ","spill the jackpot","0.0","0.0","Claudia_Gray","A.A. Fair","claudia gray","a.a. fair","0.25","0.25"
"LinearCombinationMatchingRule","C94","B07604","0.06153846153846154",,"Be(com)ing Nigerian","Mistress of Mellyn","being nigerian","mistress of mellyn","0.0","0.0","Elnathan_John","Victoria Holt","elnathan john","victoria holt","0.15384615384615385","0.15384615384615385"
"LinearCombinationMatchingRule","C94","B18987","0.0761904761904762",,"Be(com)ing Nigerian","Imperium","being nigerian","imperium","0.0","0.0","Elnathan_John","Francis Parker Yockey","elnathan john","francis parker yockey","0.19047619047619047","0.19047619047619047"
"LinearCombinationMatchingRule","C94","B15476","0.11111111111111112",,"Be(com)ing Nigerian","Beyond The Wall Of Sleep","being nigerian","beyond the wall of sleep","0.0","0.0","Elnathan_John","H.P. Lovecraft, August Derleth (Editor), Donald Wandrei (Editor), Francis T. Laney (Contributor), W. Paul Cook (Contributor), Clark Ashton Smith (Cover art)","elnathan john","h.p. lovecraft, august derleth , donald wandrei , francis t. laney , w. paul cook , clark ashton smith ","0.2777777777777778","0.2777777777777778"
"LinearCombinationMatchingRule","C94","B38573","0.06666666666666665",,"Be(com)ing Nigerian","Selected Satires of Lucian","being nigerian","selected satires of lucian","0.0","0.0","Elnathan_John","Lucian of Samosata, Lionel Casson (Translator/Editor)","elnathan john","lucian of samosata, lionel casson ","0.16666666666666663","0.16666666666666663"
"LinearCombinationMatchingRule","C93","B38275","0.14285714285714285",,"Be(com)ing Nigerian","Miss Lonelyhearts","being nigerian","miss lonelyhearts","0.0","0.0","Elnathan_John","Nathanael West, Malcolm Cowley (Introduction)","elnathan john","nathanael west, malcolm cowley ","0.3571428571428571","0.3571428571428571"
"LinearCombinationMatchingRule","C93","B37187","0.06153846153846154",,"Be(com)ing Nigerian","The Queen's Confession","being nigerian","the queen's confession","0.0","0.0","Elnathan_John","Victoria Holt","elnathan john","victoria holt","0.15384615384615385","0.15384615384615385"
"LinearCombinationMatchingRule","C93","B30540","0.07999999999999999",,"Be(com)ing Nigerian","Les Trois Mousquetaires & Vingt ans après","being nigerian","les trois mousquetaires & vingt ans après","0.0","0.0","Elnathan_John","Alexandre Dumas","elnathan john","alexandre dumas","0.19999999999999996","0.19999999999999996"
"LinearCombinationMatchingRule","C2369","B35330","0.06153846153846154",,"Evernight (series)","The Ghost of Blackwood Hall","evernight ","the ghost of blackwood hall","0.0","0.0","Claudia_Gray","Carolyn Keene","claudia gray","carolyn keene","0.15384615384615385","0.15384615384615385"
"LinearCombinationMatchingRule","C2369","B10051","0.06153846153846154",,"Evernight (series)","The Wanderer","evernight ","the wanderer","0.0","0.0","Claudia_Gray","Mika Waltari, Naomi Walford (Translator)","claudia gray","mika waltari, naomi walford ","0.15384615384615385","0.15384615384615385"
"LinearCombinationMatchingRule","C93","B08882","0.08888888888888889",,"Be(com)ing Nigerian","Betsy-Tacy and Tib","being nigerian","betsy-tacy and tib","0.0","0.0","Elnathan_John","Maud Hart Lovelace, Lois Lenski (Illustrator)","elnathan john","maud hart lovelace, lois lenski ","0.2222222222222222","0.2222222222222222"
"LinearCombinationMatchingRule","C94","B41737","0.05",,"Be(com)ing Nigerian","One Morning in Maine","being nigerian","one morning in maine","0.0","0.0","Elnathan_John","Robert McCloskey","elnathan john","robert mccloskey","0.125","0.125"
"LinearCombinationMatchingRule","C2371","B28105","0.03333333333333335",,"Evernight (series)","The Mountain of Adventure","evernight ","the mountain of adventure","0.0","0.0","Claudia_Gray","Enid Blyton","claudia gray","enid blyton","0.08333333333333337","0.08333333333333337"
"LinearCombinationMatchingRule","C94","B07614","0.07058823529411766",,"Be(com)ing Nigerian","Paradiso","being nigerian","paradiso","0.0","0.0","Elnathan_John","Dante Alighieri, Dorothy L. Sayers (Translator), Barbara Reynolds (Translator)","elnathan john","dante alighieri, dorothy l. sayers , barbara reynolds ","0.17647058823529416","0.17647058823529416"
"LinearCombinationMatchingRule","C94","B40885","0.12000000000000002",,"Be(com)ing Nigerian","The Case of the Spurious Spinster","being nigerian","the case of the spurious spinster","0.0","0.0","Elnathan_John","Erle Stanley Gardner","elnathan john","erle stanley gardner","0.30000000000000004","0.30000000000000004"
"LinearCombinationMatchingRule","C2369","B36239","0.0",,"Evernight (series)","Theologus Autodidactus","evernight ","theologus autodidactus","0.0","0.0","Claudia_Gray","ابن النفيس, Ibn Al-Nafis","claudia gray","ابن النفيس, ibn al-nafis","0.0","0.0"
"LinearCombinationMatchingRule","C2369","B02227","0.1",,"Evernight (series)","No Longer Human","evernight ","no longer human","0.0","0.0","Claudia_Gray","Osamu Dazai, Donald Keene (Translator; Introduction)","claudia gray","osamu dazai, donald keene ","0.25","0.25"
"LinearCombinationMatchingRule","C2371","B13090","0.09090909090909093",,"Evernight (series)","Die kleine Hexe","evernight ","die kleine hexe","0.0","0.0","Claudia_Gray","Otfried Preußler, Winnie Gebhardt-Gayler (Illustrator)","claudia gray","otfried preußler, winnie gebhardt-gayler ","0.2272727272727273","0.2272727272727273"
"LinearCombinationMatchingRule","C2369","B37565","0.08421052631578947",,"Evernight (series)","Dom schadzek","evernight ","dom schadzek","0.0","0.0","Claudia_Gray","Alain Robbe-Grillet","claudia gray","alain robbe-grillet","0.21052631578947367","0.21052631578947367"
"LinearCombinationMatchingRule","C94","B16576","0.0",,"Be(com)ing Nigerian","Little Black, a Pony","being nigerian","little black, a pony","0.0","0.0","Elnathan_John","Walter Farley (writer), James Schucker (illustratar), Steven Farley","elnathan john","walter farley , james schucker , steven farley","0.0","0.0"
"LinearCombinationMatchingRule","C94","B38121","0.0923076923076923",,"Be(com)ing Nigerian","The Battle of the Bulge","being nigerian","the battle of the bulge","0.0","0.0","Elnathan_John","John Toland","elnathan john","john toland","0.23076923076923073","0.23076923076923073"
"LinearCombinationMatchingRule","C93","B31684","0.05714285714285716",,"Be(com)ing Nigerian","La tumba de Antígona","being nigerian","la tumba de antígona","0.0","0.0","Elnathan_John","María Zambrano","elnathan john","maría zambrano","0.1428571428571429","0.1428571428571429"
"LinearCombinationMatchingRule","C93","B23829","0.12307692307692308",,"Be(com)ing Nigerian","The Caine Mutiny Court-Martial: A Drama in Two Acts","being nigerian","the caine mutiny court-martial: a drama in two acts","0.0","0.0","Elnathan_John","Herman Wouk","elnathan john","herman wouk","0.3076923076923077","0.3076923076923077"
"LinearCombinationMatchingRule","C2369","B38893","0.09090909090909093",,"Evernight (series)","Miss Hickory","evernight ","miss hickory","0.0","0.0","Claudia_Gray","Carolyn Sherwin Bailey","claudia gray","carolyn sherwin bailey","0.2272727272727273","0.2272727272727273"
"LinearCombinationMatchingRule","C93","B04073","0.02857142857142856",,"Be(com)ing Nigerian","Illuminations","being nigerian","illuminations","0.0","0.0","Elnathan_John","Arthur Rimbaud, Louise Varèse (Translator)","elnathan john","arthur rimbaud, louise varèse ","0.0714285714285714","0.0714285714285714"
"LinearCombinationMatchingRule","C94","B30632","0.03076923076923075",,"Be(com)ing Nigerian","Selected Poems","being nigerian","selected poems","0.0","0.0","Elnathan_John","T.S. Eliot","elnathan john","t.s. eliot","0.07692307692307687","0.07692307692307687"
"LinearCombinationMatchingRule","C2371","B07896","0.06153846153846154",,"Evernight (series)","Ozma of Oz","evernight ","ozma of oz","0.0","0.0","Claudia_Gray","L. Frank Baum","claudia gray","l. frank baum","0.15384615384615385","0.15384615384615385"
"LinearCombinationMatchingRule","C94","B06777","0.06153846153846154",,"Be(com)ing Nigerian","Corduroy","being nigerian","corduroy","0.0","0.0","Elnathan_John","Don Freeman","elnathan john","don freeman","0.15384615384615385","0.15384615384615385"
"LinearCombinationMatchingRule","C93","B40157","0.03076923076923075",,"Be(com)ing Nigerian","Mustang Man","being nigerian","mustang man","0.0","0.0","Elnathan_John","Louis L'Amour","elnathan john","louis l'amour","0.07692307692307687","0.07692307692307687"
"LinearCombinationMatchingRule","C2369","B27764","0.1",,"Evernight (series)","Sixpence in Her Shoe","evernight ","sixpence in her shoe","0.0","0.0","Claudia_Gray","Phyllis McGinley","claudia gray","phyllis mcginley","0.25","0.25"
"LinearCombinationMatchingRule","C94","B04593","0.09090909090909093",,"Be(com)ing Nigerian","La casa de Bernarda Alba","being nigerian","la casa de bernarda alba","0.0","0.0","Elnathan_John","Federico García Lorca, Antonio Sobejano-Moran, Paola Bianco","elnathan john","federico garcía lorca, antonio sobejano-moran, paola bianco","0.2272727272727273","0.2272727272727273"
"LinearCombinationMatchingRule","C94","B26387","0.08888888888888889",,"Be(com)ing Nigerian","Three Shall Be One","being nigerian","three shall be one","0.0","0.0","Elnathan_John","Francena H. Arnold","elnathan john","francena h. arnold","0.2222222222222222","0.2222222222222222"
"LinearCombinationMatchingRule","C93","B39182","0.03076923076923075",,"Be(com)ing Nigerian","Fiddlesticks and Freckles","being nigerian","fiddlesticks and freckles","0.0","0.0","Elnathan_John","Sam Campbell","elnathan john","sam campbell","0.07692307692307687","0.07692307692307687"
"LinearCombinationMatchingRule","C93","B38090","0.0",,"Be(com)ing Nigerian","The White Goddess: A Historical Grammar of Poetic Myth","being nigerian","the white goddess: a historical grammar of poetic myth","0.0","0.0","Elnathan_John","Robert Graves","elnathan john","robert graves","0.0","0.0"
"LinearCombinationMatchingRule","C93","B39186","0.06153846153846154",,"Be(com)ing Nigerian","The Clue in the Old Stagecoach","being nigerian","the clue in the old stagecoach","0.0","0.0","Elnathan_John","Carolyn Keene","elnathan john","carolyn keene","0.15384615384615385","0.15384615384615385"
"LinearCombinationMatchingRule","C2369","B38667","0.06666666666666665",,"Evernight (series)","Black Hearts in Battersea","evernight ","black hearts in battersea","0.0","0.0","Claudia_Gray","Joan Aiken, Robin Jacques (Illustrator)","claudia gray","joan aiken, robin jacques ","0.16666666666666663","0.16666666666666663"
"LinearCombinationMatchingRule","C2369","B13345","0.06666666666666665",,"Evernight (series)","The Diary of Anaïs Nin, Vol. 1: 1931-1934","evernight ","the diary of anaïs nin, vol. 1: 1931-1934","0.0","0.0","Claudia_Gray","Anaïs Nin, Gunther Stuhlmann (Editor, Introduction)","claudia gray","anaïs nin, gunther stuhlmann ","0.16666666666666663","0.16666666666666663"
"LinearCombinationMatchingRule","C2371","B35058","0.039999999999999994",,"Evernight (series)","The Great Democracies","evernight ","the great democracies","0.0","0.0","Claudia_Gray","Winston S. Churchill","claudia gray","winston s. churchill","0.09999999999999998","0.09999999999999998"
"LinearCombinationMatchingRule","C93","B39187","0.1176470588235294",,"Be(com)ing Nigerian","Some Haunted Houses: Of England & Wales","being nigerian","some haunted houses: of england & wales","0.0","0.0","Elnathan_John","Elliott O'Donnell","elnathan john","elliott o'donnell","0.2941176470588235","0.2941176470588235"
"LinearCombinationMatchingRule","C93","B32545","0.03076923076923075",,"Be(com)ing Nigerian","The Darling Buds of May","being nigerian","the darling buds of may","0.0","0.0","Elnathan_John","H.E. Bates","elnathan john","h.e. bates","0.07692307692307687","0.07692307692307687"
"LinearCombinationMatchingRule","C94","B15257","0.025",,"Be(com)ing Nigerian","Descent into Hell","being nigerian","descent into hell","0.0","0.0","Elnathan_John","Charles Williams","elnathan john","charles williams","0.0625","0.0625"
"LinearCombinationMatchingRule","C2369","B38421","0.06666666666666665",,"Evernight (series)","Nightbirds on Nantucket","evernight ","nightbirds on nantucket","0.0","0.0","Claudia_Gray","Joan Aiken, Robin Jacques (Illustrator)","claudia gray","joan aiken, robin jacques ","0.16666666666666663","0.16666666666666663"
"LinearCombinationMatchingRule","C94","B41518","0.05714285714285716",,"Be(com)ing Nigerian","Norwood","being nigerian","norwood","0.0","0.0","Elnathan_John","Charles Portis","elnathan john","charles portis","0.1428571428571429","0.1428571428571429"
"LinearCombinationMatchingRule","C94","B41516","0.10526315789473686",,"Be(com)ing Nigerian","Walt Disney's Santa's Toy Shop (A Little Golden Book)","being nigerian","walt disney's santa's toy shop ","0.0","0.0","Elnathan_John","Al Dempster, Walt Disney Company (Illustrations)","elnathan john","al dempster, walt disney company ","0.26315789473684215","0.26315789473684215"
"LinearCombinationMatchingRule","C94","B01090","0.05714285714285716",,"Be(com)ing Nigerian","Endurance: Shackleton's Incredible Voyage","being nigerian","endurance: shackleton's incredible voyage","0.0","0.0","Elnathan_John","Alfred Lansing","elnathan john","alfred lansing","0.1428571428571429","0.1428571428571429"
"LinearCombinationMatchingRule","C94","B26133","0.06153846153846154",,"Be(com)ing Nigerian","Satires, Epistles and Ars Poetica","being nigerian","satires, epistles and ars poetica","0.0","0.0","Elnathan_John","Horatius, H.R. Fairclough (Translator)","elnathan john","horatius, h.r. fairclough ","0.15384615384615385","0.15384615384615385"
"LinearCombinationMatchingRule","C2369","B01157","0.03333333333333335",,"Evernight (series)","Yertle the Turtle and Other Stories","evernight ","yertle the turtle and other stories","0.0","0.0","Claudia_Gray","Dr. Seuss","claudia gray","dr. seuss","0.08333333333333337","0.08333333333333337"
"LinearCombinationMatchingRule","C2369","B29922","0.07999999999999999",,"Evernight (series)","Mijn kleine oorlog","evernight ","mijn kleine oorlog","0.0","0.0","Claudia_Gray","Louis Paul Boon","claudia gray","louis paul boon","0.19999999999999996","0.19999999999999996"
