"Blocking Key Value","Frequency"
"THRACH,THHUFO,THBODO,SHBA,THBOIM,INJOAN,MYLIAS,HOTOBU,APIOF,THISOF,AGRAAN,INTHCO,THKNOF,FOATTH,INTHGA,THWHRO,HABA,THSICH,THTR,THVE,AB,THWATH,THHOAN,WIRE,EV,SETHNI,THLAMA,LE,THEVOF,NEMITH,THBUBR,HOEN,FIONTH,THMAKI,THHOWI,CUSA,PEOFTH,DIOFAN,ARFOTH,SPBO,THDOOF","8"
"EYOFTH,THDA,THVA,THPIOF","7"
"THTAOF","68"
"BETHBR,THUNSP,THGIWH,PRFOTH,THALOF,THYEOF,WOOFWA,WOOFTH,FIGOTO,RIWA,RERA,THFASH,THOROF,THEDOF,OMRA,THTHOF,OABE,FLBYNI,THFI,THHA,THGR,THLO,RESTRI,THDIOF,INTHPL,THSO,THLAWI,THQUOF,THWE,DEINTH,SWDA,THLADI,DAOFTH,THWIKI,THSESO,BEDA,ATHOF,THFAIN,INMA,MAMA,THLOAN,THMAGU,THMECA,THSWTH,THSOIN","6"
"DR,NE,DIOFA,THBEOF","66"
"SKPLDA,SKPLDE,CLANPR,DRTHUN,THGIOF,THOUOF,EXOR,THSPOF,SKPLMO,THLE,AI,SIOFTH,LATHGO,LIOFSI,FLOFTH,ANAMDE,THWOIS,INJE,THINMA,DEOFHO,THCUIN","5"
"SO","64"
"SITOTH,THSHRI,THGIWI,SOTHIS,APAOF,AQUOF,CABO,CRDU,THGRBO,REPLON,SI&SI,SHKI,DAALTH,KICO,THRIAN,DEORAL,THBOAN,THBOAV,AWISH,THOLMA,DE(CNO,ALOWA,DEHE,INHIPL,THDAGO,DAFI,BLCO,THGAST,THFR,POOFA,THJO,DROA,WIDA,HACU,THKIST,BAANTH,BLOFTH,THPRCE,PRCA,BUNOBU,THOWSE,ON,THPEBO,COOFTH,BLIITH,THLITH,LASA,ONUPA,OFWESW,ZE,THTHST,THLABO,THLABA,TRFE,THBLSW,CIOFAS,THMATH,CAAHI,HOTHGR,THGUOF,SKCR,PROFFI,THWOIN,THLOHE,MAGE,THMANE,SOUP,STWARE,EMSTOF,RUHO,PRANPR,THBEMA,NIAC,THHOCO,IAMTH,THINCI","4"
"THIN,THPAOF","63"
"THWHBO,THGRDE,WHIWA,THCAST,GOGOGO,ONMYHO,UNFI,THMODI,THCAAN,THSCTR,STINTH,THFAMA,ASCOF,INTHKI,KITHGI,BINAST,YOHATO,DEGI,INTHBE,CROFTH,THAW,THAC,THAF,AGALEN,AWOOF,COINTH,THGRWH,THHE,DEST,DAMI,SEMA,THPH,THBIBO,THLAUN,FOBLMI,THBIBA,LOINTH,ED,APLCA,EI,THWAWI,WADO,THQUGA,THQUFO,MRMOGO,JOMAAN,THLALE,PIPO,WHTHWI,ESFRHE,LEOFTH,DOBO,DODE,THLACA,THGOTH,THWIWI,DEINHE,THBLOF,THGOLI,DITHFI,SPOFTH,ONFOTH,CHMO,THRUMA,LOANWA,SHOFA,GOINTH,MEANTH,TWOFTH","3"
"SOOFTH,THSUOF","60"
"NIIN,FARE,THRITO,RAOFA,WHINTH,WIHEIN,THFOBE,THRISE,SPIM,JUONLO,BLSHAN,CHOFGO,THELCO,THHYSO,RIBO,DEWIDR,AFTHFI,CIATTH,CACR,HAANTH,BOCO,CEMA,BOCH,MODR,THCRMO,CRHO,THNETH,TOINLO,BETHGR,SPWA,ACSE,THBOID,SHFO,TWFOTH,FIOFTH,HOTOEA,WIYOWE,THACMA,THGIGA,THNAAN,ONYOCA,RIOFA,SHSE,AWEOF,FOFE,TOMIGA,MOST,SEAGTH,ADDR,SUSO,SOPAAN,THSEIN,THSEHU,THCOLI,THSEHI,THSIPR,DRBIDA,PHCO,THSIUN,SMFA,TOTOVA,DEDU,THMYED,SOOFSC,THEMCO,THCOMO,THEMCH,THGOBE,THTUGA,GRVI,THJOPO,THILMU,THCOCA,THTHBI,DEIS,FIFAMO,THTHGR,DACO,CHTHCR,THSEDI,FRTHMI,PI19,THBLCI,THTHEY,THCE,THWHTI,KARE,THWHRA,DRKE,THKEOF,DERO,COHE,THGL,DESO,TUCO,DETR,RUFOYO,CAAMTH,HADA,THGROF,YODOKN,BLLA,KRTHAS,BAHYOF,KRTHBE,DESPMA,DRST,DARI,THBOUL,THWHHO,THREQU,ROET,CAHALO,DRTI,RODR,ONAPA,ARTETR,BLSH,SESU,CIOFGL,TOTHLI,LIOFTH,TUPR,THLATH,ANACOF,THLASO,THPAGI,ONRE,THLAST,THTECI,GOMO,THTRCO,THTRBE,AKEFO,THMIDO,THPETH,WIWO,THPRDE,ONFANO,THGOWO,THFLST,ANEXIN,THBUWI,MOOVMA,ANGH,THLAPO,BOOFA,MYBRSA,TRINTH,CIONFI,ANKA,AGINA,THBLWA,THSEWO,DODU,GAOFTH,ACAEA,PAGA,VU,THLAHO,THFLPA,PRLI,DAANTH,LASEWE,THAMWA,WHHATO,JUINCA,MAAFMA,THDRWA,MICH,JUDA,THBLPR,THDATH,LEANGR,THSIWO,THGOGA,IRCR,ONSTBE,SPTHCA,THSNEM,THBLTA,PETODR,BEBL,THSEST,AGALTH,ASAP,THLORO,LOOFSO,ADAWI,THRUIN,DEENIN,RIDELA,THLOVO,TRMO,BAAN,RUALU,THSTIN,THSCFO,THSTHA,MAANMA,THBETH,BENI,WOWIEN,THBRLI,THSOTH,EXTOED,DAHAOF,MADA,CYSE,DOANOU,AGOAG,ROANJU,THSTBE,GOAFCA,THFIST,THCURO,SAPEFA,THMACO,MAMI,THHONE,THMACI,THHOMA,ADEMA,SEINTH,TUOFBL,FITH,ACOFA,CABATO,THCLTH,THSKIS,VAHUD,BEANTA,IAMNU,FARIOF,THMAFI,THFIKI,ENWITI,ISANTH,THASLI,ANBOWE,THLOBO,MRTI,OPLU,CHCHBA,APLOF,GIOFTH,CHCHBO,THASAN,TWWEWI,STMA,THCHKI,THJUOF,THBIOF,DEOFAN,DRTHCO,THTRIN,INTODE,MYBOWO","2"
"THDI,THKIOF,EL,HA","56"
"BETHCH,BETHBL,THCAPE,SPHA,THYEWE,OTBEFO,THWHBE,FATA,STSO,THUNSU,HOMOCA,THFOAT,THGRCH,CLOFWI,WROFA,THBOSU,THMOSH,THSUMA,BRCOAL,ADOLI,HAACR,FEOFSO,CHEVAT,THUNWA,THPLAG,THFODI,THGRGH,STTOHE,CIDUFR,THHUAN,SHOFFO,THREDA,INADA,KETHHE,BETHLI,AWATO,THRIKI,MOBE,BOBL,THSPVA,SHOFHO,THGECO,BETHMA,NITR,HOFIA,LIBOBL,THGRBR,LOAMTH,ALARE,SUOFSU,MYSIJO,THREGL,FASEOF,THVIBY,THHUDA,ALTHTH,THKIBU,BLATTH,ATSA,HOTOLI,GECL,THACTI,PADEAN,THKIAT,THCRLA,SHIS,HUBA,TOBITO,BRTHJU,HAONRY,MATHCO,CRMA,THISPE,NOTILI,THACOF,AQUBE,RABO,THCACR,ANTHWA,THODFI,NITHOF,KIHO,THCIST,MALIAN,RISE,BETHRI,THJADI,LIAPE,NEFOLA,THGUTH,THNIGA,THSTMO,TH35OF,KIMA,VEDE,THTWPE,THPOKI,NOANFO,GRSHOF,BLSURI,MIOFCA,THFASP,TOANTO,CAWA,THOLNE,FAKETO,ANTHLA,HUPE,IVTHTE,KACE,THOVWI,PRTOBR,THCOKI,WIOFWR,THVAWA,LABUTO,RAS.MO,OUOFGA,EMOFMI,RIASRA,THDRTO,KIWI,2GI,SITHDO,PLLU,PRTOFO,BEIDI,THSITR,THTUHO,THBLKN,INTHNI,SOOFSI,GATH,MOOFST,PLON,HOILI,AMASP,THDAFI,THBLAS,FOTR,KATHWI,LIHOA,WHIAM,THCODA,KNCR,16THTA,THDELE,TISTFO,THCOAG,THDIST,DISO,FIFRHE,PUFA,ABAOF,THHIMA,INTHEM,THAQPR,16THSA,DENA,AFIUP,CHTHBE,SIHO,THSIAN,IFIST,DENO,THFOTH,HELIAR,DRHA,BUHOIS,COFA,HECE,THWHRE,THDEDE,RIADR,CRTHRI,THWHPL,THICPR,BOOFLI,SEYOAR,CABLKN,THSIDO,SOMYMO,REISNO,HEIS,THELSH,SUANRE,16THEA,FRTHWI,FOSTTO,INTHPR,THDIDW,ABNOCH,THKIPE,HEKI,THGAKI,ASOOF,THGRMI,MYPRPO,ALOCH,THOV,ILOYO,THDEAL,DEISNO,ROEX,THSUTR,FLBA,WEBA,GOEA,MYGI,SIDAOF,BOOFHA,THPHBO,ONNI@,THWHLI,INTHWO,THPRLI,DOPLTW,GIINLO,SEOFAL,SESO,NOFRTH,ANEXMY,THBIBL,ARBE,THPERA,DAINMY,NOFRUN,ONPO,CAFOSA,SEUN,THTIKN,CHSCOF,MOWIEI,ANUNOF,FIVIPA,SAOL,WRINBL,THTIRO,PIFR,THPROP,THPAMO,LIOFSE,ANATTH,THPAMA,TRTOMA,LO&SL,BLOFFI,MAISMY,GIINPA,THPEST,THEISA,DATAMY,CRTHLI,BLANME,STBYWI,BYTHRI,EVEM,TOTHDA,K-,THPRBE,FAOFA,ARAEN,THPEGA,PRAC,PLOFJU,THPAGA,THANLI,FRGREY,PEINSP,AREIN,THPELA,THSWFI,VOONTH,CLHE:,THSARO,THLAEM,THPIIN,EVMA,JOPISW,DABEDA,BETWSE,PEFRHE,THTUTE,CLBU,THWRDO,LIBRBU,THWABE,NOIKN,WHTHSA,ENBU,IMST,WASC,THVOGA,OFARRE,WHTHST,WASH,ANFRTH,ANNA,GOTOTH,TEFR,LOMEIN,SAOFBI,HETOPA,INANTH,THROHO,VA13A,DA4ZO,NIINRO,THTHTW,AMTHFR,THCOST,ANRO,THONO',MIDA,IRAW,OSRI,THDATR,THGOGI,BEATMI,THSEOR,THCOSE,UNAGO,THDASI,TRBL,THTHQU,PAINOZ,THWEIS,HOFLAN,THPIEG,IREY,THBLTH,ALABSA,MAINLO,IRGO,THBLSI,ETOFAT,MIMA,FAGROF,WHWEYO,THFIWO,ASEPE,THFAGU,THISAL,IRLI,IRLO,SALETO,FAFONA,PEOFDO,THOTPL,AFMA,SNANEA,ZOSA,ROOFAT,IRLA,THFIUN,HOTHGA,I,CO,BATHUL,THSCIL,THSCIN,THNICI,INEL,OPHEGA,BACA,FIH.,PROFGL,EAPRLO,THWOSE,EVINSI,MELU,ANOLI,THCHWA,ABIS,PATHRE,ASIPL,RO&RO,THMESE,STTRTH,KIMATH,THSOST,AJO,FECR,JUCAME,BRHA,THOTHA,THHOSC,WOTHJO,IRST,BRTHSP,IAMCH,IRTI,THFITE,ALIAM,THFADE,HAOFA,THBEWA,GEWIDA,SAOFLO,THABTR,THFIRE,JEFIAN,GRWAA,IWAA,INPA,THASTH,GOBIGR,BLTHBO,CHOFTO,FINOFR,WENETO,FIPU,ASMPL,HOWA,FIDAIN,THGHBE,GUEM,THMAAP,THFIEN,MAOR,ICATTH,FOANCH,ENOFCR,LOVOBA,IAMNO,THLOEY,THBEPL,THOTFA,THRHEX,THTRTA,ATTHGA,THLODO,THSKI',THGHDR,WEWHAR,TOTHST,THGLCA,AJOGO,HEFESY,CHANTE,WATOLI,THOSWE,THDOPE,THCHCU,BROFSO,LOANFO,AFOOF,THINDE,ONMOLI,FLINSU,FOTHSW,FAPL,SPEN,SCLA,ANEPIN,NUTHST,OWINTH,RATHAS","1"
"THPOOF,THAROF","55"
"THNAOF,GR","54"
"AN,DO,DEOFA","51"
"RA","50"
"HAPOAN","49"
"THWIGI,HOOFTH","48"
"THST,THSWOF,WO","45"
"THMOOF,THFOOF,THROTO","42"
